LP Name,Investor Type,Country,S&P,Moody's
ANTARIUS,Insurance Company,France,A,NR
Al Sariya Commercial Investments LLC,SWF,United Arab Emirates,AA,NR
"Alecta pensionsförsäkring, ömsesidigt",Other Pension Plan,Sweden,NR,NR
Appia III Global Infrastructure Portfolio SCSp,Fund-of-Funds,Luxembourg,NR,NR
Arkitekternes Pensionskasse,Other Pension Plan,Denmark,NR,NR
"BAR AI Infra SCS, SICAV-FIAR",Fund-of-Funds,Luxembourg,NR,NR
BNP Paribas,Financial Institution,France,A+,Aa3
Border to Coast Bedfordshire LP,Other Pension Plan,UK,NR,NR
Border to Coast Cumbria LP,Other Pension Plan,UK,NR,NR
Border to Coast Durham LP,Other Pension Plan,UK,NR,NR
Border to Coast East Riding LP,Other Pension Plan,UK,NR,NR
Border to Coast South Yorkshire LP,Other Pension Plan,UK,NR,NR
Border to Coast Surrey LP,Other Pension Plan,UK,NR,NR
Border to Coast Teesside LP,Other Pension Plan,UK,NR,NR
Border to Coast Tyne & Wear LP,Other Pension Plan,UK,NR,NR
Border to Coast Warwickshire LP,Other Pension Plan,UK,NR,NR
Brie Picardie Expansion,Financial Institution,France,A+,NR
Caisse des depots et consignations,Financial Institution,France,AA+,NR
Caisse Regionale Crédit Agricole Mutuel des Côtes d'Armor,Financial Institution,France,A+,NR
Cardif Assurance Vie,Insurance Company,France,A,NR
Cargill Pension Trustees Limited,Corporate Pension Plan,UK,A,NR
"CIBC Mellon Trust Company, acting solely in its capacity as trustee of Ontario Power Generation Inc. Pension Fund",Public Pension Plan,Canada,AA-,NR
"Custody Bank of Japan, Ltd. A/C 17188",Financial Institution,Japan,A-,NR
Elo Mutual Pension Insurance Company,Insurance Company,Malaysia,NR,NR
Employees Provident Fund Board,SWF,Malaysia,A-,A3
Epsom Investment Pte. Ltd.,SWF,Singapore,A+,NR
"Fubon Life Insurance Co., Ltd.",Insurance Company,Taiwan,A-,A3
Global Responsible Infrastructure Fund A LP,Fund-of-Funds,,NR,NR
Global Responsible Infrastructure Fund B LP,Fund-of-Funds,,NR,NR
Golding Infrastructure 2018 SCS SICAV-FIAR – Teilfonds A,Fund-of-Funds,Luxembourg,NR,NR
Ilmarinen Mutual Pension Insurance Company,Insurance Company,Finland,NR,NR
John Lewis Partnership Pensions Trust as Trustee of the John Lewis Partnership Trust for Pensions,Other Pension Plan,UK,NR,NR
Los Angeles County Employees Retirement Association,Public Pension Plan,United States,AA,NR
"Mercer Private Investment Partners VI, L.P",Fund-of-Funds,United States,A-,NR
